Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
STR_btnOther,"OTHER","OTHER","OTHER","OTHER","ПРОЧИЕ","OTHER","OTHER","OTHER","OTHER","AUTRE","其他","OTHER","OTHER","其他"
STR_btnGeneral,"GENERAL","GENERAL","GENERAL","GENERAL","ОБЩИЕ","GENERAL","GENERAL","GENERAL","GENERAL","GÉNÉRAL","常规","GENERAL","GENERAL","常规"
STR_btnMap,"MAP","MAP","MAP","MAP","КАРТА","MAP","MAP","MAP","MAP","MAP","地图","MAP","MAP","地图"
STR_btnVehicle,"VEHICLE","VEHICLE","VEHICLE","VEHICLE","ТРАНСПОРТ","VEHICLE","VEHICLE","VEHICLE","VEHICLE","VÉHICULE","载具","VEHICLE","VEHICLE","载具"
STR_btnLockpick,"LOCKPICK","LOCKPICK","LOCKPICK","LOCKPICK","ОТМЫЧКА","LOCKPICK","LOCKPICK","LOCKPICK","LOCKPICK","CROCHETAGE","撬锁","LOCKPICK","LOCKPICK","撬锁"
STR_btnTerritory,"TERRITORY","TERRITORY","TERRITORY","TERRITORY","ТЕРРИТОРИЯ","TERRITORY","TERRITORY","TERRITORY","TERRITORY","TERRITOIRE","领土","TERRITORY","TERRITORY","领土"
STR_btnAI,"EXPANSION","EXPANSION","EXPANSION","EXPANSION","EXPANSION","EXPANSION","EXPANSION","EXPANSION","EXPANSION","EXPANSION","扩展","EXPANSION","EXPANSION","扩展"
STR_btnRaid,"RAID","RAID","RAID","RAID","РЕЙД","RAID","RAID","RAID","RAID","RAID","突袭","RAID","RAID","突袭"
STR_GeneralTitle," == General =="," == General =="," == General =="," == General =="," == ОБЩИЕ =="," == General =="," == General =="," == General =="," == General =="," == Général =="," == 常规 =="," == General =="," == General =="," == 常规 =="
STR_StartingDayOfTheWeekTitle," Starting Day Of The Week"," Starting Day Of The Week"," Starting Day Of The Week"," Starting Day Of The Week","Первый день недели"," Starting Day Of The Week"," Starting Day Of The Week"," Starting Day Of The Week"," Starting Day Of The Week"," Début du jour de la semaine","一周的起始日"," Starting Day Of The Week"," Starting Day Of The Week","一周的起始日"
